image,plate,source
cam13_GJ96XY4455_20260907_082104_622129.jpg,GJ96XY4455,synthetic
cam13_MH12DE1433_20260905_103636_323535.jpg,MH12DE1433,synthetic
cam13_MH12DE1433_20260905_132233_717689.jpg,MH12DE1433,synthetic
cam13_RJ14GH9012_20260905_103701_025702.jpg,RJ14GH9012,synthetic
cam14_GJ01AB1234_20260905_102954_387864.jpg,GJ01AB1234,synthetic
cam14_GJ01AB1234_20260905_103012_087080.jpg,GJ01AB1234,synthetic
cam14_GJ01AB1234_20260905_130120_583386.jpg,GJ01AB1234,synthetic
cam14_GJ01AB1234_20260905_130125_633281.jpg,GJ01AB1234,synthetic
cam14_GJ05JV7219_20260905_103100_387510.jpg,GJ05JV7219,synthetic
cam14_GJ18CD5678_20260905_103036_123637.jpg,GJ18CD5678,synthetic
cam14_GJ27XY4455_20260905_103159_617749.jpg,GJ27XY4455,synthetic
cam14_LA1O0444_20260905_110956_213281.jpg,LA1O0444,synthetic
cam14_MH12DE1433_20260905_103122_464237.jpg,MH12DE1433,synthetic
cam14_MH12DE1433_20260905_132352_665504.jpg,MH12DE1433,synthetic
cam14_RJ14GH9012_20260905_103145_899297.jpg,RJ14GH9012,synthetic
cam15_GJ01AB1234_20260905_103740_532697.jpg,GJ01AB1234,synthetic
cam15_GJ01AB1234_20260905_103759_892171.jpg,GJ01AB1234,synthetic
cam15_GJ05JV7219_20260905_103912_428558.jpg,GJ05JV7219,synthetic
cam15_GJ18CD5678_20260905_103842_086627.jpg,GJ18CD5678,synthetic
cam15_GJ27XY4455_20260905_104010_442169.jpg,GJ27XY4455,synthetic
cam15_MH12DE1433_20260905_103933_413406.jpg,MH12DE1433,synthetic
cam15_MH12DE1433_20260905_131417_408044.jpg,MH12DE1433,synthetic
cam15_MH12DE1433_20260905_132057_026191.jpg,MH12DE1433,synthetic
cam15_MH12DE1433_20260905_132109_655889.jpg,MH12DE1433,synthetic
cam15_MH99DE1433_20260905_135857_478993.jpg,MH99DE1433,synthetic
cam15_MH99DE1433_20260905_140039_928153.jpg,MH99DE1433,synthetic
cam15_MH99DE1433_20260907_082103_572290.jpg,MH99DE1433,synthetic
cam15_RJ14GH9012_20260905_103956_209602.jpg,RJ14GH9012,synthetic
cam16_GJ05JV7219_20260905_131418_407345.jpg,GJ05JV7219,synthetic
cam16_GJ05JV7219_20260905_132110_635516.jpg,GJ05JV7219,synthetic
cam16_GJ05JV7219_20260905_132507_511271.jpg,GJ05JV7219,synthetic
cam16_GJ97JV7219_20260905_135858_039867.jpg,GJ97JV7219,synthetic
cam16_GJ97JV7219_20260905_140040_792549.jpg,GJ97JV7219,synthetic
cam16_GJ97JV7219_20260907_082104_011751.jpg,GJ97JV7219,synthetic
cam17_GJ01AB1234_20260905_104513_929370.jpg,GJ01AB1234,synthetic
cam17_GJ01AB1234_20260905_104617_690855.jpg,GJ01AB1234,synthetic
cam17_GJ01AB1234_20260905_104803_533257.jpg,GJ01AB1234,synthetic
cam17_GJ01AB1234_20260905_104828_413439.jpg,GJ01AB1234,synthetic
cam17_GJ01AB1234_20260905_130322_286910.jpg,GJ01AB1234,synthetic
cam17_GJ01AB1234_20260905_130407_847019.jpg,GJ01AB1234,synthetic
cam17_GJ05JV7219_20260905_104746_554953.jpg,GJ05JV7219,synthetic
cam17_GJ05JV7219_20260905_104928_646884.jpg,GJ05JV7219,synthetic
cam17_GJ18CD5678_20260905_104722_815397.jpg,GJ18CD5678,synthetic
cam17_GJ18CD5678_20260905_104902_760081.jpg,GJ18CD5678,synthetic
cam17_GJ27XY4455_20260905_104908_646162.jpg,GJ27XY4455,synthetic
cam17_MH12DE1433_20260905_104817_152931.jpg,MH12DE1433,synthetic
cam17_MH12DE1433_20260905_104950_253636.jpg,MH12DE1433,synthetic
cam17_RJ14GH9012_20260905_104850_322066.jpg,RJ14GH9012,synthetic
cam17_RJ14GH9012_20260905_105013_834042.jpg,RJ14GH9012,synthetic
demo-live_GJ97JV7219_20260907_104853_261055.jpg,GJ97JV7219,synthetic
demo-live_GJ98CD5678_20260907_104844_437693.jpg,GJ98CD5678,synthetic
demo-live_GJ99AB1234_20260907_104836_278630.jpg,GJ99AB1234,synthetic
demo-live_MH99DE1433_20260907_104855_398835.jpg,MH99DE1433,synthetic
demo-live_RJ99GH9012_20260907_104904_573567.jpg,RJ99GH9012,synthetic
